target,predictor,lag,n_samples,n_provinces,missing_ratio_pair,control_mode,pearson_corr,spearman_corr,kendall_tau,distance_corr,mutual_info,spearman_perm_p,abs_spearman,abs_pearson,abs_spearman_scaled,distance_corr_scaled,mutual_info_scaled,composite_score
Influenza_rates,Diarrhoea_rates,0,14352,55,0.011570247933884281,month_province,0.5274924319498319,0.5287895821713344,0.3874112643157057,0.5241333283770899,0.30187563918901894,,0.5287895821713344,0.5274924319498319,1.0,1.0,1.0,1.0
Diarrhoea_rates,Influenza_rates,0,14352,55,0.011570247933884281,month_province,0.5274924319498319,0.5287895821713344,0.3874112643157057,0.49594473889079105,0.27265440614452885,,0.5287895821713344,0.5274924319498319,1.0,0.9420927865263433,0.9032010892863294,0.9526373869321196
Influenza_rates,Diarrhoea_rates,3,14187,55,0.022933884297520635,month_province,0.3469340634022044,0.4537125278498311,0.32797107160067857,0.48017855428945977,0.2058153332495083,,0.4537125278498311,0.3469340634022044,0.8579238875826284,0.9097046523907875,0.6817884801914651,0.8346023416581012
Diarrhoea_rates,population_urban,3,14187,55,0.022933884297520635,month_province,-0.15553250845031355,-0.42726675717205237,-0.2976239686175913,0.3985745268491883,0.2874337052221989,,0.42726675717205237,0.15553250845031355,0.8078778073023586,0.7420672528823531,0.9521593262523007,0.8176239652718419
Diarrhoea_rates,population_urban,6,14022,55,0.03429752066115699,month_province,-0.15563847950580184,-0.4299856498045527,-0.30005321619066616,0.3830347588779331,0.2932956140681702,,0.4299856498045527,0.15563847950580184,0.8130230503968955,0.7101442415631827,0.9715776167169409,0.8115101684434217
Diarrhoea_rates,Influenza_rates,1,14297,55,0.015358126721763066,month_province,0.31788292994916484,0.4354700446167908,0.31366189575070236,0.4506180359730225,0.20848171308034402,,0.4354700446167908,0.31788292994916484,0.8234017406761918,0.8489791150107111,0.6906211897072076,0.8004375526677534
Influenza_rates,Diarrhoea_rates,4,14132,55,0.02672176308539942,month_province,0.33291565784621235,0.44348353722063233,0.31962443476136293,0.44740387419537636,0.20292094269576122,,0.44348353722063233,0.33291565784621235,0.8385665055478081,0.8423763315586519,0.6722004572508834,0.7984989238779144
Influenza_rates,Diarrhoea_rates,2,14242,55,0.01914600550964185,month_province,0.3460851450047474,0.4484175174753533,0.32399951342500416,0.43372827310103845,0.20595262933441738,,0.4484175174753533,0.3460851450047474,0.8479035891570414,0.8142828381848415,0.6822432902757697,0.7930402140478435
Influenza_rates,Diarrhoea_rates,1,14297,55,0.015358126721763066,month_province,0.3469329188395389,0.456574762986472,0.33070062376659254,0.4127352043534831,0.210546287373087,,0.456574762986472,0.3469329188395389,0.8633403925948909,0.7711572282985183,0.6974603447257756,0.7849971149090631
Influenza_rates,Diarrhoea_rates,5,14077,55,0.030509641873278204,month_province,0.3191216943436422,0.4372835343808277,0.313936688893135,0.4495247929052262,0.18614526650764152,,0.4372835343808277,0.3191216943436422,0.8268335958270305,0.8467332892755763,0.6166289767790337,0.7822423184444496
Diarrhoea_rates,population_urban,0,14352,55,0.011570247933884281,month_province,-0.15473110292132838,-0.4231196510208335,-0.2944124601551581,0.39270225245815377,0.2532813101390081,,0.4231196510208335,0.15473110292132838,0.8000298073365609,0.7300039658242048,0.839025337782942,0.7817683533432137
Diarrhoea_rates,population_urban,2,14242,55,0.01914600550964185,month_province,-0.15641042793187868,-0.4267373981999685,-0.2971105197217258,0.3511467322725391,0.28601346037539344,,0.4267373981999685,0.15641042793187868,0.8068760463048524,0.6446373539344238,0.9474545913799509,0.7771252056254556
Diarrhoea_rates,population_urban,5,14077,55,0.030509641873278204,month_province,-0.15506527865069056,-0.4290788998680548,-0.29916655489569494,0.3569835129770775,0.2704664236409142,,0.4290788998680548,0.15506527865069056,0.8113071132563593,0.6566277270753327,0.8959531294658796,0.7705968628363287
Diarrhoea_rates,population_urban,1,14297,55,0.015358126721763066,month_province,-0.15555211441984215,-0.42556551559642447,-0.2962176224867273,0.38098283804565514,0.24205321739332053,,0.42556551559642447,0.15555211441984215,0.8046583710640512,0.7059290247030585,0.8018309064076525,0.7644597663555546
Diarrhoea_rates,population_urban,4,14132,55,0.02672176308539942,month_province,-0.1548926360989149,-0.42855876446066066,-0.2987343840328659,0.3342230067419137,0.2575028008536586,,0.42855876446066066,0.1548926360989149,0.8103228069688918,0.6098713083489278,0.8530095424242685,0.7408138913847504
Diarrhoea_rates,Influenza_rates,2,14242,55,0.01914600550964185,month_province,0.3062894192482794,0.41956393202428677,0.30074799957815435,0.3994934143077401,0.1902541065042067,,0.41956393202428677,0.3062894192482794,0.7933009507445774,0.7439549036371554,0.6302400121298937,0.7327972972479376
Influenza_rates,Diarrhoea_rates,6,14022,55,0.03429752066115699,month_province,0.2997951179949231,0.426941329898088,0.30560112235435777,0.4125511670618831,0.1671721852808945,,0.426941329898088,0.2997951179949231,0.8072619674511912,0.7707791644462288,0.5537783231863235,0.7292979351829894
Diarrhoea_rates,Influenza_rates,3,14187,55,0.022933884297520635,month_province,0.30487601004775,0.4087515104343667,0.2917896208678425,0.38327851668542234,0.18787532719805888,,0.4087515104343667,0.30487601004775,0.7728394816686188,0.7106449879875829,0.6223600145502998,0.7103418174166246
Diarrhoea_rates,Influenza_rates,6,14022,55,0.03429752066115699,month_province,0.31120940304888856,0.4082226057648418,0.2916497879322521,0.3787726981944038,0.179819935203672,,0.4082226057648418,0.31120940304888856,0.7718385803950593,0.7013887819131434,0.5956755427061077,0.699617901580055
Diarrhoea_rates,Influenza_rates,4,14132,55,0.02672176308539942,month_province,0.292357672541702,0.39764223704428064,0.2839749809077041,0.4105058200438927,0.1498779359292728,,0.39764223704428064,0.292357672541702,0.7518162490803216,0.7665774520314929,0.49648900564456266,0.6938889194018503
Diarrhoea_rates,Influenza_rates,5,14077,55,0.030509641873278204,month_province,0.29469267665398474,0.3953629068755625,0.28199023559219755,0.386113343521285,0.16508272089284404,,0.3953629068755625,0.29469267665398474,0.74750283571836,0.7164685118224643,0.5468567166808639,0.6849275764006277
Diarrhoea_rates,population_male,6,14022,55,0.03429752066115699,month_province,-0.0867578908068558,-0.340189658033129,-0.24499290865478474,0.251177151045566,0.2278893759834908,,0.340189658033129,0.0867578908068558,0.6430927629496412,0.43927199204584366,0.7549114482894668,0.5895191259230785
Diarrhoea_rates,population_male,2,14242,55,0.01914600550964185,month_province,-0.08936834204389872,-0.34106754070227024,-0.24509168416267146,0.27538936522932533,0.19359442641912494,,0.34106754070227024,0.08936834204389872,0.644754071560073,0.48901062320687877,0.641305230654621,0.5815944819924324
Diarrhoea_rates,population_male,4,14132,55,0.02672176308539942,month_province,-0.08764785782015305,-0.34174204514350554,-0.24582884708199823,0.28740537722861065,0.18085078990875036,,0.34174204514350554,0.08764785782015305,0.6460305064133717,0.5136948583752555,0.5990903750782982,0.5813612143643568
Diarrhoea_rates,population_male,1,14297,55,0.015358126721763066,month_province,-0.0891939140998379,-0.3405496731549635,-0.24458132753125347,0.2505176601466882,0.21507057270882335,,0.3405496731549635,0.0891939140998379,0.6437740569799407,0.4379172140679029,0.7124475936071054,0.5785997039719167
Diarrhoea_rates,population_male,3,14187,55,0.022933884297520635,month_province,-0.08833100394864593,-0.3413057543489646,-0.2453693170197375,0.2621673680845027,0.200874233333038,,0.3413057543489646,0.08833100394864593,0.6452048680005164,0.46184895867643216,0.6654204819994134,0.5769164077706069
Diarrhoea_rates,population_male,0,14352,55,0.011570247933884281,month_province,-0.08850214331725031,-0.33936879314588264,-0.24359018705150332,0.25836837837518484,0.2050876006576683,,0.33936879314588264,0.08850214331725031,0.6415393550135698,0.4540447757750983,0.6793777769171133,0.5760011287940671
Diarrhoea_rates,population_male,5,14077,55,0.030509641873278204,month_province,-0.0873471989251955,-0.34123609008125216,-0.2455458616478723,0.2571224068951945,0.1928607670228626,,0.34123609008125216,0.0873471989251955,0.6450730350667334,0.45148520334565984,0.6388748941152655,0.5660883671404371
Influenza_rates,population_urban,5,14077,55,0.030509641873278204,month_province,-0.06826970318910819,-0.3102523590299844,-0.19931388459182792,0.2642827754549413,0.16931752807599398,,0.3102523590299844,0.06826970318910819,0.5864393007556002,0.46619459456726925,0.5608850337538369,0.5319528515298271
Influenza_rates,population_urban,4,14132,55,0.02672176308539942,month_province,-0.06705777578857082,-0.3059305249611392,-0.19645785042118366,0.24695403124965098,0.1881600640654293,,0.3059305249611392,0.06705777578857082,0.5782606449923492,0.430596527824204,0.6233032402711143,0.5304556469447823
Influenza_rates,population_urban,1,14297,55,0.015358126721763066,month_province,-0.06191373476052245,-0.29005610746374894,-0.18622226929890753,0.2668225648898688,0.1803907015666555,,0.29005610746374894,0.06191373476052245,0.5482198349831913,0.47141202941117905,0.5975662761369894,0.5298333230428359
Influenza_rates,population_urban,2,14242,55,0.01914600550964185,month_province,-0.063220140201073,-0.2952096913894019,-0.18954038375068555,0.244571386025373,0.18911846096443874,,0.2952096913894019,0.063220140201073,0.5579724974416559,0.42570191095444837,0.6264780472929202,0.522190650309589
