target,predictor,lag,n_samples,n_provinces,missing_ratio_pair,control_mode,pearson_corr,spearman_corr,kendall_tau,distance_corr,mutual_info,spearman_perm_p,abs_spearman,abs_pearson,abs_spearman_scaled,distance_corr_scaled,mutual_info_scaled,composite_score
Diarrhoea_rates,Influenza_rates,0,14520,55,0.0,month_province,0.5297757126083209,0.5379613946125229,0.39473844143381953,0.5131264345543367,0.34747543148642546,,0.5379613946125229,0.5297757126083209,1.0,0.9902815609666159,1.0,0.9961126243866464
Influenza_rates,Diarrhoea_rates,0,14520,55,0.0,month_province,0.5297757126083209,0.5379613946125229,0.3947384414338195,0.5177552462647963,0.297097166872768,,0.5379613946125229,0.5297757126083209,1.0,1.0,0.855016326195639,0.9637540815489097
Influenza_rates,Diarrhoea_rates,1,14465,55,0.0037878787878787845,month_province,0.3503676266537427,0.46695468578881044,0.3387791726344616,0.47091584350802496,0.255950626799069,,0.46695468578881044,0.3503676266537427,0.8678838472250995,0.9016581558020188,0.7366006445525286,0.8485727699877246
Influenza_rates,Diarrhoea_rates,2,14410,55,0.007575757575757569,month_province,0.34922732322184835,0.458233378215951,0.3316500560413708,0.454529060432627,0.25332728964060713,,0.458233378215951,0.34922732322184835,0.851656850892212,0.8672532237734196,0.7290509391036001,0.827243922097542
Influenza_rates,Diarrhoea_rates,5,14245,55,0.018939393939393923,month_province,0.32232838081649756,0.44754403019168926,0.3217839644488825,0.4351924134211914,0.25710729957596534,,0.44754403019168926,0.32232838081649756,0.8317680888296921,0.8266548938249223,0.7399294346541723,0.8067631472839043
Influenza_rates,Diarrhoea_rates,4,14300,55,0.015151515151515138,month_province,0.33611717479820064,0.4535231357643864,0.327361717499606,0.42713712307036306,0.26055192464530386,,0.4535231357643864,0.33611717479820064,0.8428929027858055,0.8097423786768477,0.7498427256589583,0.8063701488605106
Diarrhoea_rates,Influenza_rates,1,14465,55,0.0037878787878787845,month_province,0.32142126685278016,0.446395603244884,0.3221177293298768,0.44287785888440956,0.24683843130558714,,0.446395603244884,0.32142126685278016,0.8296313083413636,0.8427908997484098,0.7103766451908994,0.805081479116566
Diarrhoea_rates,population_urban,0,14520,55,0.0,month_province,-0.15526267253348808,-0.4254864304476238,-0.29492944531366355,0.41511005276506646,0.2914851328062893,,0.4254864304476238,0.15526267253348808,0.7907273862551013,0.7844908979894545,0.8388654459953567,0.8002673058839064
Influenza_rates,Diarrhoea_rates,3,14355,55,0.011363636363636354,month_province,0.3500911539444782,0.4633629521546265,0.33550492114280345,0.44978394642822145,0.2127190832554593,,0.4633629521546265,0.3500911539444782,0.8612010134844357,0.8572906018214254,0.612184528688813,0.7973827276203258
Diarrhoea_rates,population_urban,5,14245,55,0.018939393939393923,month_province,-0.15496408202342063,-0.43123231886258545,-0.2993712701271102,0.3780928812514085,0.2987970965956448,,0.43123231886258545,0.15496408202342063,0.8014182728520745,0.7067713563345424,0.8599085561746188,0.7781820770756976
Diarrhoea_rates,population_urban,1,14465,55,0.0037878787878787845,month_province,-0.15607114886995507,-0.4278412789387627,-0.296625694797163,0.36524462935797797,0.3078172891330846,,0.4278412789387627,0.15607114886995507,0.7951088528541159,0.6797957607557217,0.8858677801083897,0.7716733478283266
Diarrhoea_rates,population_urban,4,14300,55,0.015151515151515138,month_province,-0.15482962866652353,-0.4307999325742801,-0.29906067379520007,0.3670831147871763,0.28590460771926196,,0.4307999325742801,0.15482962866652353,0.80061376840637,0.6836557597522364,0.8228052455283624,0.7593784342252147
Diarrhoea_rates,Influenza_rates,3,14355,55,0.011363636363636354,month_province,0.3076627253190668,0.42053673030891925,0.30083197567768655,0.4394434102310503,0.2094764736864727,,0.42053673030891925,0.3076627253190668,0.7815178995664764,0.835580090162974,0.6028526183574396,0.7584764555028163
Diarrhoea_rates,population_urban,6,14190,55,0.022727272727272707,month_province,-0.15544337379708162,-0.4319993292089417,-0.30010909177146095,0.3408436043952005,0.31382640686780494,,0.4319993292089417,0.15544337379708162,0.8028453838642284,0.628564497034845,0.9031614279182928,0.7582120401459911
Diarrhoea_rates,population_urban,3,14355,55,0.011363636363636354,month_province,-0.1554821420924623,-0.42960421701130874,-0.29805682628947033,0.3567351276083112,0.2861476334319777,,0.42960421701130874,0.1554821420924623,0.7983890020059858,0.6619296043571498,0.823504649545723,0.7500841548313857
Diarrhoea_rates,Influenza_rates,2,14410,55,0.007575757575757569,month_province,0.30920154061531957,0.4306783727369915,0.3092818335040858,0.4085464743526938,0.2241898427833675,,0.4306783727369915,0.30920154061531957,0.800387592340748,0.770710312251361,0.6451962425784504,0.7497188428644188
Influenza_rates,Diarrhoea_rates,6,14190,55,0.022727272727272707,month_province,0.3029347045677613,0.4367877647917227,0.3130926588215159,0.42060540053787626,0.19347354037190811,,0.4367877647917227,0.3029347045677613,0.81175481928924,0.7960286760711628,0.5567977555830919,0.741725096075472
Diarrhoea_rates,Influenza_rates,6,14190,55,0.022727272727272707,month_province,0.31374765750056843,0.41975501539449034,0.30055096682269955,0.39538196905931455,0.23392554542780886,,0.41975501539449034,0.31374765750056843,0.7800634290133135,0.7430707256574042,0.6732146339875758,0.7385541489145153
Diarrhoea_rates,population_urban,2,14410,55,0.007575757575757569,month_province,-0.15643229729157607,-0.42904462692968287,-0.29752701766636364,0.328843788901426,0.30009570066765967,,0.42904462692968287,0.15643229729157607,0.7973478202649908,0.603370239289475,0.8636458105366315,0.7363312854426947
Diarrhoea_rates,Influenza_rates,4,14300,55,0.015151515151515138,month_province,0.29519256780940456,0.4096949550124566,0.29320005537216376,0.4166880471064893,0.21096520373879635,,0.4096949550124566,0.29519256780940456,0.7613455290236488,0.787803981943051,0.6071370365275393,0.7333767870673822
